,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
610,26.94,6.18,27.3,1.4,397000000,14.678937711391,297000000,100.303593474323
612,26.94,6.3,26.7,1,387000000,14.534982344709,287000000,112.049713338294
613,26.94,6.3,26.7,1.1,391000000,14.436765446328,291000000,114.005646756377
614,26.94,6.3,26.7,1.2,394000000,14.313867822829,294000000,117.628804280639
615,26.94,6.3,26.7,1.3,397000000,14.168564101342,297000000,114.013101579305
616,26.94,6.3,26.7,1.4,400000000,14.005602088581,300000000,105.65713359408
618,26.94,6.3,26.82,1,387000000,14.720759963131,287000000,109.904968742467
619,26.94,6.3,26.82,1.1,390000000,14.613422090535,290000000,118.853690388245
620,26.94,6.3,26.82,1.2,393000000,14.479947051995,293000000,119.111029921755
621,26.94,6.3,26.82,1.3,396000000,14.325663950661,296000000,110.199363994335
622,26.94,6.3,26.82,1.4,399000000,14.155288521194,299000000,102.354823276502
624,26.94,6.3,26.94,1,386000000,14.909963653293,286000000,114.943297182673
625,26.94,6.3,26.94,1.1,389000000,14.789856067885,289000000,122.994980220435
626,26.94,6.3,26.94,1.2,392000000,14.645292114704,292000000,115.787668395764
627,26.94,6.3,26.94,1.3,395000000,14.481623109067,295000000,106.437518976065
628,26.94,6.3,26.94,1.4,398000000,14.303516872057,298000000,99.742201502106
630,26.94,6.3,27.06,1,385000000,15.098479176189,285000000,120.784946444009
631,26.94,6.3,27.06,1.1,388000000,14.964924265093,288000000,122.090692692773
632,26.94,6.3,27.06,1.2,391000000,14.808734289994,291000000,111.462019954057
633,26.94,6.3,27.06,1.3,394000000,14.635263163659,294000000,103.44418693347
634,26.94,6.3,27.06,1.4,398000000,14.464790679023,298000000,101.14008019407
636,26.94,6.3,27.18,1,384000000,15.284765108057,284000000,124.586105987937
637,26.94,6.3,27.18,1.1,387000000,15.137042647461,287000000,117.643195282611
638,26.94,6.3,27.18,1.2,390000000,14.968668760359,290000000,107.930137280935
639,26.94,6.3,27.18,1.3,394000000,14.792061523711,294000000,105.119790124093
640,26.94,6.3,27.18,1.4,397000000,14.646880907191,297000000,98.971025249381
642,26.94,6.3,27.3,1,383000000,15.466715651986,283000000,122.832233691016
643,26.94,6.3,27.3,1.1,386000000,15.304071467938,286000000,113.50753332588
644,26.94,6.3,27.3,1.2,389000000,15.122946347865,289000000,105.103415817963
645,26.94,6.3,27.3,1.3,393000000,14.985604308563,293000000,102.61944776793
646,26.94,6.3,27.3,1.4,396000000,14.831135204369,296000000,97.181115637334
648,27.06,5.7,26.7,1,392000000,13.834645689427,292000000,88.743314465779
649,27.06,5.7,26.7,1.1,395000000,13.738251727421,295000000,92.245627591146
650,27.06,5.7,26.7,1.2,399000000,13.624364563498,299000000,92.656164805164
651,27.06,5.7,26.7,1.3,402000000,13.524139695243,302000000,97.210338484422
652,27.06,5.7,26.7,1.4,405000000,13.406241596175,305000000,103.105570045017
654,27.06,5.7,26.82,1,391000000,13.991378344271,291000000,90.947506758412
655,27.06,5.7,26.82,1.1,394000000,13.887301942306,294000000,94.837035141525
656,27.06,5.7,26.82,1.2,398000000,13.785845854824,298000000,95.384792946464
657,27.06,5.7,26.82,1.3,401000000,13.679664044957,301000000,100.579267404785
658,27.06,5.7,26.82,1.4,404000000,13.556891371673,304000000,107.396831162324
660,27.06,5.7,26.94,1,390000000,14.146113052882,290000000,93.362724692809
661,27.06,5.7,26.94,1.1,394000000,14.041883099628,294000000,93.868362002299
662,27.06,5.7,26.94,1.2,397000000,13.948311916289,297000000,98.482202328299
663,27.06,5.7,26.94,1.3,400000000,13.836103175205,300000000,104.535646846031
664,27.06,5.7,26.94,1.4,403000000,13.708417122354,303000000,112.423041492089
666,27.06,5.7,27.06,1,389000000,14.298151267615,289000000,96.051691301238
